code_insee,annee,indicateur,valeur
59001,2020,dotations,44389.0
59001,2021,dotations,45367.0
59001,2022,dotations,45581.0
59001,2023,dotations,49621.0
59001,2024,dotations,51632.0
59001,2020,dotations_par_habitant,92.09
59001,2021,dotations_par_habitant,92.97
59001,2022,dotations_par_habitant,93.4
59001,2023,dotations_par_habitant,101.89
59001,2024,dotations_par_habitant,107.34
59002,2020,dotations,998094.0
59002,2021,dotations,897724.0
59002,2022,dotations,800291.0
59002,2023,dotations,810368.0
59002,2024,dotations,1060785.0
59002,2020,dotations_par_habitant,222.09
59002,2021,dotations_par_habitant,203.06
59002,2022,dotations_par_habitant,184.14
59002,2023,dotations_par_habitant,189.47
59002,2024,dotations_par_habitant,250.3
59003,2020,dotations,46610.0
59003,2021,dotations,45424.0
59003,2022,dotations,44164.0
59003,2023,dotations,50064.0
59003,2024,dotations,53111.0
59003,2020,dotations_par_habitant,123.31
59003,2021,dotations_par_habitant,120.17
59003,2022,dotations_par_habitant,115.92
59003,2023,dotations_par_habitant,131.75
59003,2024,dotations_par_habitant,142.01
59004,2020,dotations,256448.0
59004,2021,dotations,274144.0
59004,2022,dotations,291848.0
59004,2023,dotations,313173.0
59004,2024,dotations,319263.0
59004,2020,dotations_par_habitant,206.98
59004,2021,dotations_par_habitant,211.86
59004,2022,dotations_par_habitant,217.96
59004,2023,dotations_par_habitant,225.95
59004,2024,dotations_par_habitant,232.36
59005,2020,dotations,1125215.0
59005,2021,dotations,1109259.0
59005,2022,dotations,887104.0
59005,2023,dotations,792993.0
59005,2024,dotations,792836.0
59005,2020,dotations_par_habitant,319.21
59005,2021,dotations_par_habitant,315.04
59005,2022,dotations_par_habitant,251.88
59005,2023,dotations_par_habitant,220.21
59005,2024,dotations_par_habitant,218.11
59006,2020,dotations,61969.0
59006,2021,dotations,62042.0
59006,2022,dotations,62926.0
59006,2023,dotations,56305.0
59006,2024,dotations,67716.0
59006,2020,dotations_par_habitant,264.82
59006,2021,dotations_par_habitant,272.11
59006,2022,dotations_par_habitant,277.21
