code_insee,nom_commune,dette_par_habitant,dotations,dotations_par_habitant,annee_fin,commentaire_financier,strate,dotations_par_hab_mediane_strate,commentaire_financier_joli
59001,ABANCOURT (59),623.94,51632.0,107.34,2024,santé financière préoccupante — dette en hausse préoccupante depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel élevés; pic de dette en 2022 Tendance dette vs strate : hausse alors que la strate est en baisse.,< 500 hab,176.17,"Dette : en hausse (de 240.5 %), au-dessus de la médiane (+304 € /hab). Épargne brute : en hausse (de 41.1 %) Investissement : en hausse (de 624.2 %) Dotations par habitant : 107 € /hab (au-dessous de la médiane, -69 € /hab)."
59002,ABSCON (59),28.92,1060785.0,250.3,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,3500-4999 hab,249.06,"Dette : en baisse (de 28.5 %), au-dessous de la médiane (-461 € /hab). Épargne brute : globalement stable Investissement : en hausse (de 164.4 %) Dotations par habitant : 250 € /hab (au-dessus de la médiane, +1 € /hab)."
59003,AIBES (59),111.26,53111.0,142.01,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement élevé; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,< 500 hab,176.17,"Dette : en baisse (de 71.9 %), au-dessous de la médiane (-209 € /hab). Épargne brute : en hausse (de 84.1 %) Investissement : en hausse (de 59.4 %) Dotations par habitant : 142 € /hab (au-dessous de la médiane, -34 € /hab)."
59004,AIX-EN-PEVELE (59),138.38,319263.0,232.36,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement élevé; frais de personnel contenus Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 70.7 %), au-dessous de la médiane (-231 € /hab). Épargne brute : en hausse (de 27.6 %) Investissement : en baisse (de 40.6 %) Dotations par habitant : 232 € /hab (au-dessus de la médiane, +43 € /hab)."
59005,ALLENNES-LES-MARAIS (59),591.89,792836.0,218.11,2024,santé financière à surveiller — dette globalement stable depuis 2020 — investissement faible; frais de personnel élevés Tendance dette vs strate : hausse alors que la strate est en baisse.,3500-4999 hab,249.06,"Dette : globalement stable, au-dessus de la médiane (+102 € /hab). Épargne brute : en baisse (de 35.1 %) Investissement : en baisse (de 9.9 %) Dotations par habitant : 218 € /hab (au-dessous de la médiane, -31 € /hab)."
59006,AMFROIPRET (59),351.9,67716.0,294.42,2024,santé financière à surveiller — dette globalement stable depuis 2020 — investissement élevé; frais de personnel contenus; commune nouvelle depuis 2025 — évolutions 2020→2025 à interpréter avec prudence Tendance dette vs strate : comparaison de tendance non disponible.,< 500 hab,176.17,"Dette : en baisse (de 19.7 %), au-dessus de la médiane (+32 € /hab). Épargne brute : en hausse (de 80.2 %) Investissement : en hausse (de 233.9 %) Dotations par habitant : 294 € /hab (au-dessus de la médiane, +118 € /hab)."
59007,ANHIERS (59),678.78,225378.0,249.86,2024,santé financière préoccupante — dette en hausse préoccupante depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé Tendance dette vs strate : hausse alors que la strate est en baisse.,500-1999 hab,189.055,"Dette : en hausse (de 340.2 %), au-dessus de la médiane (+309 € /hab). Épargne brute : en hausse (de 315.7 %) Investissement : en hausse (de 443.4 %) Dotations par habitant : 250 € /hab (au-dessus de la médiane, +61 € /hab)."
59008,ANICHE (59),876.43,9575871.0,950.27,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé Tendance dette vs strate : baisse plus rapide que la strate.,10 000-19 999 hab,561.23,"Dette : en baisse (de 19.6 %), au-dessus de la médiane (+154 € /hab). Épargne brute : en baisse (de 21.4 %) Investissement : en hausse (de 297.4 %) Dotations par habitant : 950 € /hab (au-dessus de la médiane, +389 € /hab)."
59009,VILLENEUVE-D'ASCQ (59),643.67,31832388.0,499.97,2024,situation globalement saine — dette globalement stable depuis 2020 — niveau de dette/hab inférieur à la strate; frais de personnel élevés Tendance dette vs strate : évolution proche de la strate.,50 000-99 999 hab,687.21,"Dette : globalement stable, au-dessous de la médiane (-389 € /hab). Épargne brute : globalement stable Investissement : en hausse (de 34.8 %) Dotations par habitant : 500 € /hab (au-dessous de la médiane, -187 € /hab)."
59010,ANNEUX (59),1015.0,45111.0,172.18,2024,santé financière préoccupante — dette en hausse préoccupante depuis 2020 — niveau de dette/hab supérieur à la strate; frais de personnel élevés Tendance dette vs strate : hausse alors que la strate est en baisse.,< 500 hab,176.17,"Dette : en hausse (de 532.3 %), au-dessus de la médiane (+695 € /hab). Épargne brute : en baisse (de 53.6 %) Investissement : en hausse (de 232.2 %) Dotations par habitant : 172 € /hab (au-dessous de la médiane, -4 € /hab)."
