code_insee,annee,indicateur,valeur
59001,2017,encours_dette,59281.81
59001,2018,encours_dette,44968.43
59001,2019,encours_dette,103168.16
59001,2020,encours_dette,87230.57
59001,2021,encours_dette,57590.93
59001,2022,encours_dette,423899.64
59001,2023,encours_dette,401328.72
59001,2024,encours_dette,296373.08
59002,2017,encours_dette,273539.84
59002,2018,encours_dette,242038.44
59002,2019,encours_dette,207047.32
59002,2020,encours_dette,181403.68
59002,2021,encours_dette,167792.51
59002,2022,encours_dette,153574.81
59002,2023,encours_dette,141650.62
59002,2024,encours_dette,122457.07
59003,2017,encours_dette,219756.39
59003,2018,encours_dette,196849.47
59003,2019,encours_dette,173129.85
59003,2020,encours_dette,148568.23
59003,2021,encours_dette,123134.29
59003,2022,encours_dette,96796.55
59003,2023,encours_dette,69522.39
59003,2024,encours_dette,41278.02
59004,2017,encours_dette,168472.0
59004,2018,encours_dette,140447.02
59004,2019,encours_dette,721661.39
59004,2020,encours_dette,582366.78
59004,2021,encours_dette,225099.83
59004,2022,encours_dette,219152.7
59004,2023,encours_dette,204820.71
59004,2024,encours_dette,189300.81
59005,2017,encours_dette,1587798.39
59005,2018,encours_dette,1467392.47
59005,2019,encours_dette,1796645.82
59005,2020,encours_dette,2072134.79
59005,2021,encours_dette,2296275.51
59005,2022,encours_dette,2456348.74
59005,2023,encours_dette,2350453.35
59005,2024,encours_dette,2146778.59
59006,2017,encours_dette,190160.49
59006,2018,encours_dette,144393.51
59006,2019,encours_dette,122695.43
59006,2020,encours_dette,101220.33
59006,2021,encours_dette,139277.6
59006,2022,encours_dette,126461.37
59006,2023,encours_dette,105077.09
59006,2024,encours_dette,79882.18
59007,2017,encours_dette,53756.63
59007,2018,encours_dette,18311.34
59007,2019,encours_dette,0.0
59007,2020,encours_dette,140000.0
59007,2021,encours_dette,380000.0
59007,2022,encours_dette,372076.87
59007,2023,encours_dette,365133.09
59007,2024,encours_dette,612260.31
59008,2017,encours_dette,12860538.89
59008,2018,encours_dette,12442623.76
59008,2019,encours_dette,11876923.76
59008,2020,encours_dette,11286518.18
59008,2021,encours_dette,10678409.72
59008,2022,encours_dette,10059772.7
59008,2023,encours_dette,9445252.04
59008,2024,encours_dette,8814232.85
59009,2017,encours_dette,42951871.11
59009,2018,encours_dette,42723923.7
59009,2019,encours_dette,38194971.75
59009,2020,encours_dette,42049384.18
59009,2021,encours_dette,42720884.85
59009,2022,encours_dette,41018840.71
59009,2023,encours_dette,39269500.58
59009,2024,encours_dette,40357926.54
59010,2017,encours_dette,51399.82
59010,2018,encours_dette,48995.66
59010,2019,encours_dette,46525.25
59010,2020,encours_dette,43980.25
59010,2021,encours_dette,241343.0
59010,2022,encours_dette,226138.04
59010,2023,encours_dette,211076.14
59010,2024,encours_dette,264914.11
59011,2017,encours_dette,10530218.87
59011,2018,encours_dette,10390738.33
59011,2019,encours_dette,9658400.43
59011,2020,encours_dette,10019322.15
59011,2021,encours_dette,9147069.01
59011,2022,encours_dette,8332472.09
59011,2023,encours_dette,9467915.7
59011,2024,encours_dette,8548147.87
59012,2017,encours_dette,2332658.37
59012,2018,encours_dette,3188673.45
59012,2019,encours_dette,3002628.69
59012,2020,encours_dette,3215958.9
59012,2021,encours_dette,3004032.59
59012,2022,encours_dette,2784272.97
59012,2023,encours_dette,2557492.94
59012,2024,encours_dette,2761748.66
59013,2017,encours_dette,1444876.14
59013,2018,encours_dette,1388630.86
59013,2019,encours_dette,1330676.59
59013,2020,encours_dette,1270930.65
59013,2021,encours_dette,1211311.98
59013,2022,encours_dette,1947213.83
