code_insee,nom_commune,annee,population
59001,Abancourt,2010,448
59002,Abscon,2010,4228
59003,Aibes,2010,361
59004,Aix-En-Pévèle,2010,1101
59005,Allennes-Les-Marais,2010,3337
59006,L'Orée De Mormal,2010,222
59007,Anhiers,2010,968
59008,Aniche,2010,10347
59009,Villeneuve-D'Ascq,2010,63572
59010,Anneux,2010,243
59011,Annoeullin,2010,9663
59012,Anor,2010,3280
59013,Anstaing,2010,1267
59014,Anzin,2010,13412
59015,Arleux,2010,2935
59016,Armbouts-Cappel,2010,2497
59017,Armentières,2010,25375
59018,Arnèke,2010,1583
59019,Artres,2010,1034
59021,Assevent,2010,1757
59022,Attiches,2010,2309
59023,Aubencheul-Au-Bac,2010,465
59024,Auberchicourt,2010,4573
59025,Aubers,2010,1528
59026,Aubigny-Au-Bac,2010,1217
59027,Aubry-Du-Hainaut,2010,1468
59028,Auby,2010,7535
59029,Auchy-Lez-Orchies,2010,1478
59031,Audignies,2010,297
59032,Aulnoy-Lez-Valenciennes,2010,7280
59033,Aulnoye-Aymeries,2010,8642
59034,Avelin,2010,2559
59035,Avesnelles,2010,2505
59036,Avesnes-Sur-Helpe,2010,4976
59037,Avesnes-Les-Aubert,2010,3672
59038,Avesnes-Le-Sec,2010,1358
59039,Awoingt,2010,693
59041,Bachant,2010,2398
59042,Bachy,2010,1448
59043,Bailleul,2010,14480
59044,Baisieux,2010,4452
59045,Baives,2010,157
59046,Bambecque,2010,729
59047,Banteux,2010,323
59048,Bantigny,2010,470
59049,Bantouzelle,2010,409
59050,Bas-Lieu,2010,313
59051,La Bassée,2010,6235
59052,Bauvin,2010,5265
59053,Bavay,2010,3516
59054,Bavinchove,2010,921
59055,Bazuel,2010,566
59056,Beaucamps-Ligny,2010,889
59057,Beaudignies,2010,571
59058,Beaufort,2010,961
59059,Beaumont-En-Cambrésis,2010,466
59060,Beaurain,2010,228
59061,Beaurepaire-Sur-Sambre,2010,255
59062,Beaurieux,2010,168
59063,Beauvois-En-Cambrésis,2010,2143
59064,Bellaing,2010,1194
59065,Bellignies,2010,894
59066,Bérelles,2010,165
59067,Bergues,2010,3886
59068,Berlaimont,2010,3193
59069,Bermerain,2010,651
59071,Bersée,2010,2262
59072,Bersillies,2010,264
59073,Berthen,2010,506
59074,Bertry,2010,2210
59075,Béthencourt,2010,749
59076,Bettignies,2010,262
59077,Bettrechies,2010,247
59078,Beugnies,2010,581
59079,Beuvrages,2010,6652
59080,Beuvry-La-Forêt,2010,2737
59081,Bévillers,2010,555
59082,Bierne,2010,1644
59083,Bissezeele,2010,213
59084,Blaringhem,2010,2000
59085,Blécourt,2010,360
59086,Boeschepe,2010,2197
59087,Boëseghem,2010,712
59088,Bois-Grenier,2010,1521
59089,Bollezeele,2010,1403
59090,Bondues,2010,9930
59091,Borre,2010,573
59092,Bouchain,2010,4053
59093,Boulogne-Sur-Helpe,2010,328
59094,Bourbourg,2010,6911
59096,Bourghelles,2010,1563
59097,Boursies,2010,339
59098,Bousbecque,2010,4702
59099,Bousies,2010,1699
59100,Bousignies,2010,315
59101,Bousignies-Sur-Roc,2010,432
59102,Boussières-En-Cambrésis,2010,428
59103,Boussières-Sur-Sambre,2010,523
59104,Boussois,2010,3259
59105,Bouvignies,2010,1517
59106,Bouvines,2010,709
59107,Bray-Dunes,2010,4666
59108,Briastre,2010,720
59109,Brillon,2010,735
59110,Brouckerque,2010,1281
59111,Broxeele,2010,304
59112,Bruay-Sur-L'Escaut,2010,12276
59113,Bruille-Lez-Marchiennes,2010,1338
59114,Bruille-Saint-Amand,2010,1614
59115,Brunémont,2010,635
59116,Bry,2010,376
59117,Bugnicourt,2010,952
59118,Busigny,2010,2559
59119,Buysscheure,2010,513
59120,Caëstre,2010,1812
59121,Cagnoncles,2010,539
59122,Cambrai,2010,32584
59123,Camphin-En-Carembault,2010,1636
59124,Camphin-En-Pévèle,2010,1977
59125,Cantaing-Sur-Escaut,2010,423
59126,Cantin,2010,1450
59127,Capelle,2010,161
59128,Capinghem,2010,1620
59129,Cappelle-En-Pévèle,2010,2119
59130,Cappelle-Brouck,2010,1148
59131,Cappelle-La-Grande,2010,8173
59132,Carnières,2010,1070
59133,Carnin,2010,989
59134,Cartignies,2010,1249
59135,Cassel,2010,2287
59136,Le Cateau-Cambrésis,2010,7039
59137,Catillon-Sur-Sambre,2010,837
59138,Cattenières,2010,676
59139,Caudry,2010,14393
59140,Caullery,2010,466
59141,Cauroir,2010,572
59142,Cerfontaine,2010,586
59143,La Chapelle-D'Armentières,2010,8259
59144,Château-L'Abbaye,2010,868
59145,Chemy,2010,645
59146,Chéreng,2010,3014
59147,Choisies,2010,67
59148,Clairfayts,2010,368
59149,Clary,2010,1146
59150,Cobrieux,2010,527
59151,Colleret,2010,1679
59152,Comines,2010,12372
59153,Condé-Sur-L'Escaut,2010,9731
