code_insee,nom_commune,maire_prenom,maire_nom,date_naissance,age_au_1er_tour_2026,part_65_plus_2021,part_moins_20_2021,strate,mediane_niveau_vie_2021,mediane_strate_niveau_vie,ecart_niveau_vie_vs_strate,categorie_niveau_vie,phrase_niveau_vie,departement,departement_code
59001,Abancourt,Françoise,LAINE,15/09/1946,79.0,26.93,24.59,< 500 hab,25560.0,22370.0,3190.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 25560 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59002,Abscon,Patrick,KOWALCZYK,11/03/1952,74.0,17.16,31.8,3500-4999 hab,19560.0,21515.0,-1955.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19560 €, plus faible que la moyenne de la strate (21515 € pour la strate).",Nord,59
59003,Aibes,Pascal,CHABOT,17/11/1959,66.0,18.46,36.09,< 500 hab,22970.0,22370.0,600.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22970 €, proche de la moyenne de la strate (22370 € pour la strate).",Nord,59
59004,Aix-En-Pévèle,Didier,DALLOY,04/11/1952,73.0,14.32,30.05,500-1999 hab,29290.0,23000.0,6290.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 29290 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59005,Allennes-Les-Marais,Carine,VANDAELE,05/01/1973,53.0,14.9,37.18,3500-4999 hab,26280.0,21515.0,4765.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 26280 €, plus élevé que la moyenne de la strate (21515 € pour la strate).",Nord,59
59006,L'Orée De Mormal,Philippe,EUSTACHE,18/04/1955,70.0,10.6,27.65,< 500 hab,24820.0,22370.0,2450.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24820 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59007,Anhiers,Nadine,MORTELETTE VAHE,28/08/1959,66.0,14.4,38.66,500-1999 hab,21640.0,23000.0,-1360.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 21640 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59008,Aniche,Xavier,BARTOSZEK,29/05/1986,39.0,14.7,36.35,10 000-19 999 hab,17820.0,19710.0,-1890.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 17820 €, plus faible que la moyenne de la strate (19710 € pour la strate).",Nord,59
59009,Villeneuve-D'Ascq,Gérard,CAUDRON,27/02/1945,81.0,15.51,32.26,50 000-99 999 hab,22000.0,18300.0,3700.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 22000 €, plus élevé que la moyenne de la strate (18300 € pour la strate).",Nord,59
59010,Anneux,Thierry,LEVEQUE,03/11/1956,69.0,25.19,33.46,< 500 hab,24410.0,22370.0,2040.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24410 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59011,Annoeullin,Philippe,PARSY,03/04/1963,62.0,16.31,31.13,10 000-19 999 hab,23710.0,19710.0,4000.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 23710 €, plus élevé que la moyenne de la strate (19710 € pour la strate).",Nord,59
59012,Anor,Jean-Luc,PERAT,23/01/1950,76.0,17.97,34.1,2000-3499 hab,18490.0,22735.0,-4245.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 18490 €, plus faible que la moyenne de la strate (22735 € pour la strate).",Nord,59
59013,Anstaing,Etienne,DUMOULIN,11/04/1962,63.0,15.04,36.27,500-1999 hab,27530.0,23000.0,4530.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 27530 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59014,Anzin,Pierre-Michel,BERNARD,13/01/1963,63.0,16.07,33.98,10 000-19 999 hab,16780.0,19710.0,-2930.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 16780 €, plus faible que la moyenne de la strate (19710 € pour la strate).",Nord,59
59015,Arleux,Bruno,VANDEVILLE,03/09/1974,51.0,19.96,32.51,2000-3499 hab,22420.0,22735.0,-315.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22420 €, proche de la moyenne de la strate (22735 € pour la strate).",Nord,59
59016,Armbouts-Cappel,Jean-Luc,DARCOURT,12/02/1957,69.0,21.83,27.35,2000-3499 hab,24750.0,22735.0,2015.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24750 €, plus élevé que la moyenne de la strate (22735 € pour la strate).",Nord,59
59017,Armentières,Jean-Michel,MONPAYS,09/01/1964,62.0,16.67,33.87,20 000-49 999 hab,18920.0,19570.0,-650.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 18920 €, proche de la moyenne de la strate (19570 € pour la strate).",Nord,59
59018,Arnèke,Julie,ADJOVI,23/09/1989,36.0,26.03,27.11,500-1999 hab,22380.0,23000.0,-620.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22380 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59019,Artres,Liliane,ANDRE,19/04/1951,74.0,17.08,37.42,500-1999 hab,24790.0,23000.0,1790.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24790 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59021,Assevent,Marjorie,MAHIEUX,03/01/1982,44.0,21.4,34.24,500-1999 hab,21460.0,23000.0,-1540.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 21460 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59022,Attiches,Luc,FOUTRY,10/05/1974,51.0,20.87,29.94,2000-3499 hab,27220.0,22735.0,4485.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 27220 €, plus élevé que la moyenne de la strate (22735 € pour la strate).",Nord,59
59023,Aubencheul-Au-Bac,Michel,PRETTRE,24/08/1953,72.0,18.97,29.43,500-1999 hab,23320.0,23000.0,320.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 23320 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
