code_insee,nom_commune,departement,strate_perso,annee,taux_tfpb,n,mean,median,q25,q75,ecart_vs_median,ecart_vs_mean,position_bande
59001,Abancourt,59,< 500 hab,2021,28.31,128,31.66765625,31.05,28.6325,33.4525,-2.740000000000002,-3.3576562500000016,sous_Q25
59001,Abancourt,59,< 500 hab,2022,28.31,128,31.834921875,31.16,28.8325,33.870000000000005,-2.8500000000000014,-3.5249218750000004,sous_Q25
59001,Abancourt,59,< 500 hab,2023,28.31,128,31.9228125,31.18,28.8325,33.870000000000005,-2.870000000000001,-3.6128125000000004,sous_Q25
59001,Abancourt,59,< 500 hab,2024,29.68,128,32.04375,31.18,29.115,34.2525,-1.5,-2.363750000000003,entre_Q25_Q75
59002,Abscon,59,3500-4999 hab,2021,37.38,42,44.03238095238095,44.945,39.9575,48.0675,-7.564999999999998,-6.652380952380945,sous_Q25
59002,Abscon,59,3500-4999 hab,2022,37.38,42,44.327619047619045,45.115,40.515,48.0675,-7.734999999999999,-6.9476190476190425,sous_Q25
59002,Abscon,59,3500-4999 hab,2023,42.38,42,45.00095238095238,45.18,41.575,49.0825,-2.799999999999997,-2.6209523809523745,entre_Q25_Q75
59002,Abscon,59,3500-4999 hab,2024,42.38,42,44.800714285714285,45.115,41.575,48.575,-2.7349999999999994,-2.4207142857142827,entre_Q25_Q75
59003,Aibes,59,< 500 hab,2021,29.47,128,31.66765625,31.05,28.6325,33.4525,-1.5800000000000018,-2.1976562500000014,entre_Q25_Q75
59003,Aibes,59,< 500 hab,2022,29.47,128,31.834921875,31.16,28.8325,33.870000000000005,-1.6900000000000013,-2.3649218750000003,entre_Q25_Q75
59003,Aibes,59,< 500 hab,2023,29.47,128,31.9228125,31.18,28.8325,33.870000000000005,-1.7100000000000009,-2.4528125000000003,entre_Q25_Q75
59003,Aibes,59,< 500 hab,2024,29.47,128,32.04375,31.18,29.115,34.2525,-1.7100000000000009,-2.573750000000004,entre_Q25_Q75
59004,Aix-en-Pévèle,59,500-1999 hab,2021,37.69,280,35.57325,34.925,31.5875,38.32,2.7650000000000006,2.116749999999996,entre_Q25_Q75
59004,Aix-en-Pévèle,59,500-1999 hab,2022,37.69,280,35.752785714285714,35.21,31.68,38.445,2.479999999999997,1.9372142857142833,entre_Q25_Q75
59004,Aix-en-Pévèle,59,500-1999 hab,2023,37.69,280,35.95339285714286,35.370000000000005,31.9525,38.79,2.319999999999993,1.7366071428571388,entre_Q25_Q75
59004,Aix-en-Pévèle,59,500-1999 hab,2024,37.69,280,36.06057142857143,35.400000000000006,32.0075,38.9275,2.289999999999992,1.6294285714285692,entre_Q25_Q75
59005,Allennes-les-Marais,59,3500-4999 hab,2021,45.51,42,44.03238095238095,44.945,39.9575,48.0675,0.5649999999999977,1.4776190476190507,entre_Q25_Q75
59005,Allennes-les-Marais,59,3500-4999 hab,2022,45.51,42,44.327619047619045,45.115,40.515,48.0675,0.394999999999996,1.182380952380953,entre_Q25_Q75
59005,Allennes-les-Marais,59,3500-4999 hab,2023,56.0,42,45.00095238095238,45.18,41.575,49.0825,10.82,10.999047619047623,au-dessus_Q75
59005,Allennes-les-Marais,59,3500-4999 hab,2024,45.0,42,44.800714285714285,45.115,41.575,48.575,-0.11500000000000199,0.19928571428571473,entre_Q25_Q75
59006,Amfroipret,59,< 500 hab,2021,31.53,128,31.66765625,31.05,28.6325,33.4525,0.4800000000000004,-0.13765624999999915,entre_Q25_Q75
59006,Amfroipret,59,< 500 hab,2022,31.53,128,31.834921875,31.16,28.8325,33.870000000000005,0.370000000000001,-0.304921874999998,entre_Q25_Q75
59006,Amfroipret,59,< 500 hab,2023,31.53,128,31.9228125,31.18,28.8325,33.870000000000005,0.3500000000000014,-0.392812499999998,entre_Q25_Q75
59006,Amfroipret,59,< 500 hab,2024,31.53,128,32.04375,31.18,29.115,34.2525,0.3500000000000014,-0.5137500000000017,entre_Q25_Q75
59007,Anhiers,59,500-1999 hab,2021,41.7,280,35.57325,34.925,31.5875,38.32,6.775000000000006,6.126750000000001,au-dessus_Q75
59007,Anhiers,59,500-1999 hab,2022,41.7,280,35.752785714285714,35.21,31.68,38.445,6.490000000000002,5.9472142857142885,au-dessus_Q75
59007,Anhiers,59,500-1999 hab,2023,41.7,280,35.95339285714286,35.370000000000005,31.9525,38.79,6.329999999999998,5.746607142857144,au-dessus_Q75
59007,Anhiers,59,500-1999 hab,2024,41.7,280,36.06057142857143,35.400000000000006,32.0075,38.9275,6.299999999999997,5.639428571428574,au-dessus_Q75
59008,Aniche,59,10 000-19 999 hab,2021,48.77,32,47.8165625,47.35,44.0175,50.765,1.4200000000000017,0.9534374999999997,entre_Q25_Q75
59008,Aniche,59,10 000-19 999 hab,2022,48.77,32,48.1103125,47.61,45.025000000000006,50.3725,1.1600000000000037,0.659687500000004,entre_Q25_Q75
59008,Aniche,59,10 000-19 999 hab,2023,48.77,32,48.5125,47.61,45.285,50.7875,1.1600000000000037,0.2575000000000003,entre_Q25_Q75
59008,Aniche,59,10 000-19 999 hab,2024,48.77,32,48.8865625,47.855,45.4925,50.92,0.9150000000000063,-0.11656249999999346,entre_Q25_Q75
