code_insee,nom_commune,departement,strate_perso,taux_tfpb,evol_2021_2024,rank_tfpb_dep_strate,ecart_tfpb_2024_vs_dep_strate_mean
59001,Abancourt,59,< 500 hab,29.68,1.37,0.3203125,-2.363750000000003
59002,Abscon,59,3500-4999 hab,42.38,5.0,0.3571428571428571,-2.4207142857142827
59003,Aibes,59,< 500 hab,29.47,0.0,0.2734375,-2.573750000000004
59004,Aix-en-Pévèle,59,500-1999 hab,37.69,0.0,0.6696428571428571,1.6294285714285692
59005,Allennes-les-Marais,59,3500-4999 hab,45.0,-0.51,0.4761904761904761,0.1992857142857147
59006,Amfroipret,59,< 500 hab,31.53,0.0,0.53125,-0.5137500000000017
59007,Anhiers,59,500-1999 hab,41.7,0.0,0.8428571428571429,5.639428571428574
59008,Aniche,59,10 000-19 999 hab,48.77,0.0,0.59375,-0.1165624999999934
59009,Villeneuve-d'Ascq,59,50 000-99 999 hab,50.67,3.0,0.75,0.9724999999999966
59010,Anneux,59,< 500 hab,37.2,0.0,0.890625,5.15625
59011,Annœullin,59,10 000-19 999 hab,50.2,2.39,0.65625,1.3134375000000065
59012,Anor,59,2000-3499 hab,43.95,0.0,0.8089887640449438,4.7121348314606735
59013,Anstaing,59,500-1999 hab,45.0,2.71,0.9214285714285714,8.939428571428572
59014,Anzin,59,10 000-19 999 hab,45.98,0.0,0.34375,-2.9065625
59015,Arleux,59,2000-3499 hab,38.12,0.0,0.449438202247191,-1.117865168539332
59016,Armbouts-Cappel,59,2000-3499 hab,41.94,3.0,0.7191011235955056,2.7021348314606684
59017,Armentières,59,20 000-49 999 hab,55.67,5.0,0.9444444444444444,9.088333333333331
59018,Arnèke,59,500-1999 hab,29.43,1.4,0.1035714285714285,-6.630571428571429
59019,Artres,59,500-1999 hab,40.2,0.0,0.7892857142857143,4.139428571428574
59021,Assevent,59,500-1999 hab,30.17,0.0,0.1428571428571428,-5.890571428571427
59022,Attiches,59,2000-3499 hab,39.2,0.0,0.5224719101123596,-0.0378651685393265
59023,Aubencheul-au-Bac,59,500-1999 hab,46.55,0.0,0.9428571428571428,10.489428571428569
59024,Auberchicourt,59,3500-4999 hab,47.88,0.0,0.6904761904761905,3.0792857142857173
59025,Aubers,59,500-1999 hab,35.97,0.0,0.5321428571428571,-0.0905714285714296
59026,Aubigny-au-Bac,59,500-1999 hab,31.57,0.0,0.225,-4.490571428571428
59027,Aubry-du-Hainaut,59,500-1999 hab,42.91,0.0,0.8928571428571429,6.849428571428568
59028,Auby,59,5000-9999 hab,59.29,-3.0,0.981132075471698,14.173962264150944
59029,Auchy-lez-Orchies,59,500-1999 hab,35.47,0.7,0.5107142857142857,-0.5905714285714296
59031,Audignies,59,< 500 hab,26.29,0.0,0.0390625,-5.753750000000004
59032,Aulnoy-lez-Valenciennes,59,5000-9999 hab,39.63,0.0,0.1698113207547169,-5.486037735849052
59033,Aulnoye-Aymeries,59,5000-9999 hab,46.53,0.0,0.6415094339622641,1.4139622641509462
59034,Avelin,59,2000-3499 hab,27.68,0.0,0.0337078651685393,-11.55786516853933
59035,Avesnelles,59,2000-3499 hab,33.84,0.0,0.1573033707865168,-5.397865168539326
59036,Avesnes-sur-Helpe,59,3500-4999 hab,42.23,0.0,0.3095238095238095,-2.5707142857142884
59037,Avesnes-les-Aubert,59,3500-4999 hab,47.26,1.5,0.6666666666666666,2.4592857142857127
59038,Avesnes-le-Sec,59,500-1999 hab,40.45,0.0,0.8035714285714286,4.389428571428574
59039,Awoingt,59,500-1999 hab,32.37,0.0,0.275,-3.690571428571431
59041,Bachant,59,2000-3499 hab,47.78,0.0,0.9101123595505618,8.542134831460672
59042,Bachy,59,500-1999 hab,38.04,0.0,0.6928571428571428,1.9794285714285704
59043,Bailleul,59,10 000-19 999 hab,38.31,0.0,0.03125,-10.576562499999994
59044,Baisieux,59,5000-9999 hab,40.29,1.63,0.2075471698113207,-4.826037735849056
59045,Baives,59,< 500 hab,29.81,0.0,0.3359375,-2.233750000000004
59046,Bambecque,59,500-1999 hab,37.03,1.0,0.625,0.9694285714285726
59047,Banteux,59,< 500 hab,30.04,0.61,0.3671875,-2.003750000000004
59048,Bantigny,59,< 500 hab,38.2,6.18,0.921875,6.15625
59049,Bantouzelle,59,< 500 hab,29.63,2.07,0.3046875,-2.413750000000004
59050,Bas-Lieu,59,< 500 hab,30.43,6.48,0.3984375,-1.6137500000000031
59051,La Bassée,59,5000-9999 hab,35.47,0.0,0.0377358490566037,-9.646037735849056
59052,Bauvin,59,5000-9999 hab,48.62,3.5,0.7735849056603774,3.5039622641509425
59053,Bavay,59,2000-3499 hab,37.57,0.0,0.4157303370786517,-1.667865168539329
59054,Bavinchove,59,500-1999 hab,31.24,1.0,0.2,-4.82057142857143
59055,Bazuel,59,500-1999 hab,41.85,0.0,0.8607142857142858,5.789428571428573
59056,Beaucamps-Ligny,59,500-1999 hab,34.13,0.0,0.4214285714285714,-1.930571428571426
59057,Beaudignies,59,500-1999 hab,42.65,0.0,0.8821428571428571,6.58942857142857
59058,Beaufort,59,500-1999 hab,36.51,1.0,0.5892857142857143,0.4494285714285695
59059,Beaumont-en-Cambrésis,59,< 500 hab,43.82,3.62,0.9921875,11.776249999999996
59060,Beaurain,59,< 500 hab,29.15,0.0,0.265625,-2.8937500000000043
59061,Beaurepaire-sur-Sambre,59,< 500 hab,34.41,1.0,0.7734375,2.3662499999999937
59062,Beaurieux,59,< 500 hab,32.79,0.0,0.625,0.7462499999999963
59063,Beauvois-en-Cambrésis,59,500-1999 hab,53.64,0.0,0.9964285714285714,17.579428571428572
59064,Bellaing,59,500-1999 hab,41.81,0.0,0.85,5.749428571428574
59065,Bellignies,59,500-1999 hab,32.94,0.0,0.3071428571428571,-3.1205714285714308
59066,Bérelles,59,< 500 hab,28.15,0.0,0.1328125,-3.893750000000004
59067,Bergues,59,3500-4999 hab,54.09,0.0,0.9761904761904762,9.289285714285718
59068,Berlaimont,59,2000-3499 hab,35.26,1.0,0.2359550561797752,-3.9778651685393314
59069,Bermerain,59,500-1999 hab,45.82,0.0,0.9285714285714286,9.759428571428572
59071,Bersée,59,2000-3499 hab,37.02,3.37,0.3820224719101123,-2.2178651685393262
59072,Bersillies,59,< 500 hab,38.64,0.0,0.9375,6.596249999999998
59073,Berthen,59,500-1999 hab,32.97,0.0,0.3178571428571428,-3.0905714285714296
59074,Bertry,59,2000-3499 hab,38.13,1.0,0.4606741573033708,-1.1078651685393268
59075,Béthencourt,59,500-1999 hab,30.02,0.0,0.1321428571428571,-6.040571428571429
59076,Bettignies,59,< 500 hab,31.39,0.0,0.5234375,-0.6537500000000023
59077,Bettrechies,59,< 500 hab,34.75,0.0,0.796875,2.706249999999997
59078,Beugnies,59,500-1999 hab,31.56,0.0,0.2214285714285714,-4.50057142857143
59079,Beuvrages,59,5000-9999 hab,45.94,-2.41,0.6226415094339622,0.8239622641509428
59080,Beuvry-la-Forêt,59,2000-3499 hab,48.35,0.0,0.9325842696629212,9.112134831460672
59081,Bévillers,59,500-1999 hab,31.39,0.0,0.2142857142857142,-4.670571428571428
59082,Bierne,59,500-1999 hab,40.16,0.0,0.7821428571428571,4.099428571428568
59083,Bissezeele,59,< 500 hab,32.19,0.5,0.59375,0.1462499999999948
59084,Blaringhem,59,2000-3499 hab,27.29,0.0,0.0112359550561797,-11.94786516853933
59085,Blécourt,59,< 500 hab,33.29,0.0,0.6875,1.2462499999999963
59086,Boeschepe,59,2000-3499 hab,34.97,0.0,0.2247191011235955,-4.2678651685393305
59087,Boëseghem,59,500-1999 hab,32.0,0.0,0.2482142857142857,-4.0605714285714285
59088,Bois-Grenier,59,500-1999 hab,34.82,0.0,0.4535714285714285,-1.2405714285714282
59089,Bollezeele,59,500-1999 hab,36.08,0.71,0.5428571428571428,0.0194285714285697
59090,Bondues,59,5000-9999 hab,42.94,0.14,0.4150943396226415,-2.176037735849057
59091,Borre,59,500-1999 hab,27.17,1.0,0.0321428571428571,-8.890571428571427
59092,Bouchain,59,3500-4999 hab,36.69,0.0,0.0714285714285714,-8.110714285714288
59093,Boulogne-sur-Helpe,59,< 500 hab,28.55,0.0,0.19140625,-3.493750000000002
59094,Bourbourg,59,5000-9999 hab,49.86,0.0,0.8490566037735849,4.7439622641509445
59096,Bourghelles,59,500-1999 hab,36.31,0.0,0.575,0.2494285714285737
59097,Boursies,59,< 500 hab,27.42,0.0,0.078125,-4.623750000000001
59098,Bousbecque,59,3500-4999 hab,50.3,8.0,0.8809523809523809,5.499285714285712
59099,Bousies,59,500-1999 hab,39.04,2.0,0.7535714285714286,2.97942857142857
59100,Bousignies,59,< 500 hab,41.94,0.0,0.9765625,9.896249999999997
59101,Bousignies-sur-Roc,59,< 500 hab,30.23,0.0,0.38671875,-1.8137500000000024
59102,Boussières-en-Cambrésis,59,< 500 hab,29.71,0.0,0.328125,-2.333750000000002
59103,Boussières-sur-Sambre,59,500-1999 hab,36.63,2.0,0.6071428571428571,0.5694285714285741
59104,Boussois,59,2000-3499 hab,48.57,0.0,0.9438202247191012,9.332134831460673
59105,Bouvignies,59,500-1999 hab,37.94,1.81,0.6821428571428572,1.8794285714285688
59106,Bouvines,59,500-1999 hab,33.65,0.0,0.375,-2.41057142857143
59107,Bray-Dunes,59,3500-4999 hab,49.53,0.0,0.8571428571428571,4.729285714285716
59108,Briastre,59,500-1999 hab,33.78,-1.04,0.3785714285714285,-2.280571428571428
59109,Brillon,59,500-1999 hab,38.29,0.0,0.7196428571428571,2.22942857142857
59110,Brouckerque,59,500-1999 hab,29.81,0.0,0.1214285714285714,-6.25057142857143
59111,Broxeele,59,< 500 hab,32.8,0.0,0.6328125,0.7562499999999943
59112,Bruay-sur-l'Escaut,59,10 000-19 999 hab,63.31,0.0,1.0,14.423437500000006
59113,Bruille-lez-Marchiennes,59,500-1999 hab,55.57,0.55,1.0,19.50942857142857
59114,Bruille-Saint-Amand,59,500-1999 hab,37.29,0.0,0.6410714285714286,1.2294285714285706
59115,Brunémont,59,500-1999 hab,37.65,1.46,0.6607142857142857,1.58942857142857
59116,Bry,59,< 500 hab,34.24,0.0,0.75,2.196249999999999
59117,Bugnicourt,59,500-1999 hab,29.98,0.0,0.1285714285714285,-6.080571428571428
59118,Busigny,59,2000-3499 hab,34.21,0.0,0.1797752808988764,-5.0278651685393285
59119,Buysscheure,59,500-1999 hab,28.52,0.5,0.0642857142857142,-7.540571428571429
59120,Caëstre,59,500-1999 hab,37.9,0.56,0.675,1.83942857142857
59121,Cagnoncles,59,500-1999 hab,30.79,0.0,0.1607142857142857,-5.270571428571429
59122,Cambrai,59,20 000-49 999 hab,37.41,0.0,0.1666666666666666,-9.171666666666674
